Customer_ID,Age,Gender,City,Membership_Type,Avg_Spend,Purchase_Frequency,Preferred_Category
CUST100000,58,Male,Delhi,Bronze,1602.01,5,Grocery
CUST100001,20,Male,Mumbai,Platinum,64381.08,29,Fashion
CUST100002,55,Female,Delhi,Gold,13109.59,9,Fashion
CUST100003,24,Female,Pune,Silver,3391.05,4,Sports
CUST100004,58,Other,Pune,Bronze,1365.3,1,Sports
CUST100005,35,Female,Pune,Bronze,2165.81,1,Fashion
CUST100006,33,Male,Ahmedabad,Bronze,1714.77,3,Home
CUST100007,69,Female,Kolkata,Gold,21343.6,14,Grocery
CUST100008,47,Male,Chennai,Silver,8052.31,9,Fashion
CUST100009,26,Other,Ahmedabad,Gold,13056.83,14,Electronics
CUST100010,56,Female,Jaipur,Bronze,4869.85,5,Grocery
CUST100011,39,Male,Chennai,Platinum,64582.44,18,Home
CUST100012,58,Female,Jaipur,Gold,13230.98,17,Sports
CUST100013,49,Male,Mumbai,Bronze,4454.25,5,Grocery
CUST100014,49,Male,Jaipur,Bronze,1077.76,5,Fashion
CUST100015,66,Other,Hyderabad,Bronze,2295.47,4,Grocery
CUST100016,22,Female,Delhi,Bronze,2992.65,1,Sports
CUST100017,39,Male,Jaipur,Silver,7368.73,10,Fashion
CUST100018,48,Female,Hyderabad,Silver,6879.46,4,Electronics
CUST100019,64,Female,Mumbai,Bronze,1362.16,4,Fashion
CUST100020,69,Other,Mumbai,Silver,7865.29,5,Electronics
CUST100021,48,Male,Kolkata,Bronze,1240.87,4,Electronics
CUST100022,64,Other,Ahmedabad,Bronze,1354.54,1,Fashion
CUST100023,55,Female,Jaipur,Bronze,1208.45,5,Sports
CUST100024,43,Male,Lucknow,Silver,3357.67,8,Fashion
CUST100025,60,Other,Pune,Gold,22910.02,15,Fashion
CUST100026,54,Male,Mumbai,Bronze,1459.19,2,Sports
CUST100027,46,Other,Chennai,Silver,10263.9,7,Sports
CUST100028,26,Female,Mumbai,Silver,4399.03,6,Electronics
CUST100029,34,Other,Ahmedabad,Bronze,4574.01,3,Grocery
CUST100030,67,Male,Chennai,Silver,7965.12,5,Fashion
CUST100031,41,Other,Jaipur,Bronze,2434.04,1,Fashion
CUST100032,33,Other,Mumbai,Bronze,4010.52,2,Grocery
CUST100033,69,Male,Kolkata,Platinum,47644.22,40,Electronics
CUST100034,62,Male,Kolkata,Platinum,50316.68,15,Electronics
CUST100035,60,Male,Kolkata,Gold,25466.53,18,Grocery
CUST100036,39,Male,Mumbai,Bronze,1303.56,4,Grocery
CUST100037,38,Female,Lucknow,Bronze,1020.41,4,Sports
CUST100038,52,Other,Hyderabad,Silver,11539.87,7,Grocery
CUST100039,60,Female,Pune,Silver,7989.71,5,Home
CUST100040,37,Female,Jaipur,Bronze,1867.44,3,Electronics
CUST100041,61,Male,Jaipur,Silver,11638.49,8,Home
CUST100042,33,Other,Chennai,Bronze,4129.53,5,Fashion
CUST100043,58,Other,Hyderabad,Platinum,25304.96,20,Home
CUST100044,69,Other,Jaipur,Bronze,725.98,4,Home
CUST100045,57,Other,Jaipur,Silver,7930.85,10,Home
CUST100046,33,Other,Chennai,Bronze,2680.69,2,Sports
CUST100047,52,Male,Bangalore,Silver,9245.55,8,Fashion
CUST100048,44,Male,Hyderabad,Silver,9928.16,9,Home
CUST100049,40,Female,Kolkata,Bronze,2921.99,4,Home
CUST100050,49,Male,Kolkata,Platinum,71227.81,33,Grocery
CUST100051,54,Other,Delhi,Gold,19233.97,11,Electronics
CUST100052,38,Female,Kolkata,Platinum,29504.84,22,Grocery
CUST100053,59,Male,Delhi,Gold,10407.6,18,Electronics
CUST100054,54,Male,Ahmedabad,Silver,4510.1,5,Grocery
CUST100055,55,Male,Chennai,Platinum,64325.81,37,Sports
CUST100056,67,Female,Lucknow,Bronze,4083.02,3,Electronics
CUST100057,39,Male,Kolkata,Bronze,974.92,2,Home
CUST100058,51,Other,Chennai,Bronze,4136.9,5,Sports
CUST100059,23,Female,Ahmedabad,Bronze,3877.14,4,Fashion
CUST100060,31,Female,Chennai,Bronze,1758.46,5,Grocery
CUST100061,64,Female,Ahmedabad,Bronze,3911.74,1,Sports
