Date,Store_ID,City,Product_ID,Product_Name,Category,Units_Sold,Price,Discount,Holiday,Season,Weather,Customer_Footfall,Marketing_Spend,Competitor_Price,Inventory_Level,Profit
2025-10-16,S103,Delhi,P4657,Milk,Grocery,197,467.46,37,No,Autumn,Stormy,115,2460.06,679.37,4239,25934.88
2025-12-19,S117,Kolkata,P5557,Shoes,Fashion,114,1499.81,17,No,Winter,Rainy,490,47903.44,1718.42,859,58526.94
2024-09-27,S101,Ahmedabad,P7201,Football,Sports,79,8763.92,12,No,Autumn,Sunny,143,33401.9,10774.85,753,131584.45
2025-04-09,S111,Bangalore,P4432,Bread,Grocery,93,572.05,15,No,Spring,Rainy,996,19593.32,771.83,4662,20284.64
2024-11-19,S112,Chennai,P6155,Smartphone,Electronics,111,27609.96,16,No,Winter,Rainy,555,37504.46,33253.34,4888,1011904.02
2024-05-21,S116,Ahmedabad,P2796,Laptop,Electronics,206,24031.68,4,No,Summer,Stormy,831,30198.53,24793.06,2159,1215289.25
2024-09-30,S110,Mumbai,P3591,Snacks,Grocery,204,702.21,11,Yes,Autumn,Sunny,661,42241.8,790.81,1729,31693.78
2025-06-27,S100,Lucknow,P1319,Snacks,Grocery,152,920.53,3,No,Monsoon,Rainy,211,5197.02,945.01,666,57574.87
2025-07-16,S105,Chennai,P7932,Tennis Racket,Sports,131,9865.8,19,No,Monsoon,Stormy,814,22466.9,12244.22,1091,556764.41
2025-07-21,S107,Lucknow,P2163,T-Shirt,Fashion,287,1876.25,21,No,Monsoon,Sunny,1102,12662.23,2495.4,1855,149233.5
2025-04-29,S113,Hyderabad,P8062,Laptop,Electronics,182,49894.86,3,Yes,Spring,Sunny,174,20728.44,48958.21,995,3568210.64
2025-03-08,S105,Chennai,P2235,Table,Home,122,18713.0,0,No,Spring,Sunny,534,9149.24,18632.39,1851,409264.37
2024-01-03,S112,Chennai,P7930,Lamp,Home,250,6283.14,13,No,Winter,Sunny,1160,3986.92,6818.16,510,469892.3
2024-06-10,S101,Jaipur,P2122,Smartphone,Electronics,100,11820.95,15,No,Monsoon,Sunny,217,21542.02,14256.09,4382,200469.27
2024-11-17,S107,Chennai,P5915,Table,Home,137,2397.67,29,No,Winter,Sunny,200,27344.09,3382.96,1185,61169.34
2024-06-10,S114,Jaipur,P9666,Juice,Grocery,89,670.68,8,No,Monsoon,Cloudy,286,44595.92,782.02,1373,21815.28
2024-12-17,S106,Chennai,P5114,Dumbbell,Sports,61,11693.04,17,No,Winter,Sunny,57,17344.27,12527.7,2245,162363.41
2025-03-13,S117,Delhi,P3442,Laptop,Electronics,183,49732.15,35,No,Spring,Rainy,930,7244.83,72109.9,426,3129795.53
2025-02-20,S119,Bangalore,P3900,Jeans,Fashion,102,520.22,26,No,Winter,Rainy,596,8800.69,745.45,3233,20701.15
2024-12-24,S109,Hyderabad,P4164,T-Shirt,Fashion,127,2646.87,17,No,Winter,Cloudy,1093,20584.24,3649.32,4492,139636.9
2024-07-01,S118,Chennai,P8119,Laptop,Electronics,191,38234.84,24,No,Monsoon,Rainy,571,3174.94,49343.94,4359,2341373.86
2024-12-04,S119,Pune,P9308,Tablet,Electronics,159,37341.16,18,No,Winter,Rainy,442,21601.87,51553.98,1525,2135716.11
2024-01-01,S109,Chennai,P6279,Shoes,Fashion,84,2883.3,30,No,Winter,Rainy,223,14905.53,4321.47,2845,92666.54
2024-01-26,S101,Hyderabad,P2193,Sofa,Home,169,15095.88,24,No,Winter,Stormy,868,12955.24,20792.93,145,1013424.85
2025-06-14,S114,Delhi,P2988,Cricket Bat,Sports,296,7662.79,33,No,Monsoon,Cloudy,956,31019.96,12189.35,4235,410173.21
2025-05-01,S114,Chennai,P9540,Jacket,Fashion,51,2016.38,18,No,Summer,Rainy,606,17456.53,2748.94,760,39141.36
2025-12-24,S106,Mumbai,P6421,Curtains,Home,162,2249.6,26,No,Winter,Stormy,90,42979.87,3282.22,3216,60925.37
2025-02-03,S113,Jaipur,P4613,Tennis Racket,Sports,139,8371.44,1,No,Winter,Stormy,738,33774.81,9212.33,1452,202631.66
2025-06-30,S100,Kolkata,P1444,Tennis Racket,Sports,172,3372.69,3,No,Monsoon,Cloudy,826,17040.28,3429.75,2864,130173.33
2024-09-15,S102,Ahmedabad,P1853,Smartwatch,Electronics,163,49852.6,2,Yes,Autumn,Sunny,556,10768.67,43550.52,1348,2502244.78
2024-08-11,S114,Chennai,P2876,Milk,Grocery,296,129.6,19,No,Monsoon,Stormy,862,47132.06,145.52,4950,14467.89
2024-11-04,S119,Mumbai,P6688,Football,Sports,196,1107.72,32,No,Winter,Cloudy,75,42629.21,1786.52,964,56302.74
2025-12-25,S104,Kolkata,P5425,Dress,Fashion,307,2809.8,37,Yes,Winter,Cloudy,710,42733.94,4902.52,809,193963.68
2025-11-15,S112,Pune,P6325,Headphones,Electronics,162,24220.56,16,No,Winter,Cloudy,622,44135.68,30574.28,2363,1753729.75
2024-03-28,S107,Kolkata,P4937,Sofa,Home,189,1283.3,18,No,Spring,Rainy,878,34897.57,1474.01,4864,70513.13
2025-07-17,S110,Pune,P6023,Lamp,Home,135,6798.3,7,No,Monsoon,Rainy,442,11602.85,7275.35,4929,335078.37
2024-07-17,S109,Hyderabad,P5952,Milk,Grocery,23,173.63,3,No,Monsoon,Cloudy,308,32255.61,192.57,940,1109.31
2025-03-27,S110,Bangalore,P8827,Tablet,Electronics,189,12769.92,36,Yes,Spring,Sunny,360,8310.68,20329.15,2589,682006.42
2025-09-02,S119,Hyderabad,P8381,Dumbbell,Sports,117,3521.92,36,No,Autumn,Sunny,253,47431.92,5020.59,1828,166013.79
2024-03-17,S105,Delhi,P8699,Curtains,Home,189,8560.8,18,No,Spring,Stormy,195,34681.86,11767.69,4931,337882.35
2024-04-27,S117,Hyderabad,P3330,Jacket,Fashion,262,632.32,36,No,Spring,Cloudy,949,7093.33,1043.92,3397,50008.73
2024-02-10,S113,Pune,P1423,Yoga Mat,Sports,186,10017.81,1,No,Winter,Cloudy,132,38392.34,9132.98,4351,591287.2
2025-08-22,S113,Ahmedabad,P6700,Headphones,Electronics,297,52670.7,10,Yes,Monsoon,Cloudy,893,34990.01,54804.76,3380,6626178.03
2024-04-28,S112,Jaipur,P8569,Smartwatch,Electronics,185,36090.65,39,No,Spring,Stormy,955,38239.54,53903.31,4599,1240183.47
2024-01-30,S119,Hyderabad,P1224,Jacket,Fashion,150,3573.06,7,No,Winter,Stormy,290,32737.77,3443.17,2490,127760.04
2025-05-09,S115,Hyderabad,P3369,Sofa,Home,1490,16241.68,8,No,Summer,Sunny,615,38861.08,19531.04,2884,2591728.03
2025-08-24,S118,Ahmedabad,P9824,Shoes,Fashion,284,2195.82,34,No,Monsoon,Stormy,982,46709.76,3695.9,2056,120479.58
2024-11-21,S115,Kolkata,P9115,Table,Home,124,11165.32,6,No,Winter,Stormy,254,26771.6,11724.52,1280,261282.93
2024-03-17,S115,Chennai,P7512,Juice,Grocery,109,737.6,20,No,Spring,Stormy,1158,2759.06,802.63,2454,25712.1
2025-10-10,S103,Ahmedabad,P1474,Jacket,Fashion,278,2462.46,22,No,Autumn,Cloudy,932,8132.92,3186.52,4736,272099.9
2025-01-26,S119,Hyderabad,P3344,Sofa,Home,114,7830.48,16,No,Winter,Sunny,1002,45159.26,9818.71,1394,148567.24
