Transaction_ID,Date,Customer_ID,Product_ID,Amount,Payment_Method,Quantity,Store_ID
TXN1000000,2025-10-16,CUST100912,P1409,35314.71,Credit Card,5,S107
TXN1000001,2025-07-12,CUST100712,P7912,11010.03,UPI,1,S102
TXN1000002,2024-01-28,CUST104597,P4257,202639.78,Cash,9,S107
TXN1000003,2024-01-07,CUST101307,P7924,65064.94,Debit Card,6,S104
TXN1000004,2024-04-14,CUST100759,P7224,60451.86,Debit Card,2,S111
TXN1000005,2025-04-15,CUST104392,P3045,103107.17,UPI,7,S117
TXN1000006,2025-01-05,CUST104729,P4150,77352.22,UPI,2,S107
TXN1000007,2024-08-26,CUST100827,P7227,41082.2,Cash,5,S111
TXN1000008,2025-11-17,CUST102187,P2169,267535.8,Wallet,10,S105
TXN1000009,2025-04-18,CUST103108,P5422,379424.8,Credit Card,9,S110
TXN1000010,2024-08-22,CUST100262,P6168,74396.31,Debit Card,7,S102
TXN1000011,2024-11-18,CUST101741,P9179,50605.05,Wallet,7,S114
TXN1000012,2025-07-28,CUST104415,P5304,200300.85,Cash,10,S118
TXN1000013,2024-05-21,CUST104174,P9085,15453.56,UPI,2,S103
TXN1000014,2025-11-27,CUST103458,P2040,348645.2,Cash,7,S119
TXN1000015,2025-07-20,CUST100094,P2876,50998.08,Debit Card,9,S110
TXN1000016,2025-04-09,CUST100026,P5315,410761.16,Credit Card,9,S116
TXN1000017,2024-11-01,CUST105234,P9317,187583.01,Credit Card,10,S104
TXN1000018,2025-06-27,CUST100004,P6310,371696.17,UPI,8,S103
TXN1000019,2024-11-10,CUST101961,P1949,17496.43,Net Banking,4,S102
TXN1000020,2024-03-11,CUST104363,P3060,142043.25,Wallet,3,S115
TXN1000021,2025-06-24,CUST104969,P7932,142704.61,Net Banking,4,S106
TXN1000022,2025-11-18,CUST105323,P7118,49104.87,Net Banking,8,S114
TXN1000023,2024-12-12,CUST100172,P4770,36425.55,Credit Card,10,S100
TXN1000024,2024-08-22,CUST100552,P1514,71858.59,UPI,6,S116
TXN1000025,2024-08-07,CUST104417,P3167,122255.62,Net Banking,10,S115
TXN1000026,2025-02-20,CUST101559,P2545,35558.9,Wallet,2,S113
TXN1000027,2024-02-25,CUST105516,P2612,40049.57,Cash,1,S110
TXN1000028,2024-07-15,CUST101558,P9786,74048.42,Credit Card,8,S113
TXN1000029,2024-03-18,CUST103630,P2604,41817.78,Wallet,1,S117
TXN1000030,2024-08-30,CUST101362,P7658,345968.44,Cash,8,S106
TXN1000031,2024-06-17,CUST103104,P1035,100337.56,Debit Card,7,S114
TXN1000032,2025-07-23,CUST105422,P8973,32889.82,Credit Card,3,S109
TXN1000033,2025-07-09,CUST100499,P6138,23891.75,UPI,1,S118
TXN1000034,2025-06-27,CUST101289,P1931,31672.93,UPI,9,S105
TXN1000035,2024-08-28,CUST103307,P2964,297665.06,Credit Card,10,S118
TXN1000036,2025-03-05,CUST105385,P9565,201115.96,Debit Card,6,S106
TXN1000037,2024-09-28,CUST103242,P3144,232290.07,Cash,5,S110
TXN1000038,2024-01-10,CUST103754,P2638,50687.29,Net Banking,2,S106
TXN1000039,2024-12-23,CUST100563,P5002,131792.46,Debit Card,6,S105
TXN1000040,2024-11-05,CUST105010,P9666,15039.0,Wallet,1,S117
TXN1000041,2024-05-17,CUST102166,P2891,15713.7,Wallet,2,S117
TXN1000042,2024-08-03,CUST105878,P6617,101279.65,Wallet,4,S108
TXN1000043,2024-02-22,CUST100756,P7939,83722.36,UPI,5,S100
TXN1000044,2024-09-25,CUST101323,P8239,252803.27,Wallet,9,S113
TXN1000045,2025-12-08,CUST101221,P9938,27671.0,Debit Card,1,S118
TXN1000046,2024-02-12,CUST102525,P6974,34135.13,Debit Card,1,S106
TXN1000047,2024-12-28,CUST104586,P7658,462956.15,Wallet,10,S104
TXN1000048,2024-06-15,CUST101450,P7755,39141.09,Credit Card,1,S110
TXN1000049,2025-11-16,CUST102032,P5371,57566.5,Wallet,3,S103
TXN1000050,2025-04-26,CUST101822,P4269,328358.12,Debit Card,8,S109
TXN1000051,2024-08-16,CUST100193,P4164,302618.48,Debit Card,7,S108
TXN1000052,2024-10-12,CUST102876,P9346,116370.65,Wallet,7,S117
TXN1000053,2024-09-24,CUST101462,P5349,21784.73,UPI,1,S119
TXN1000054,2024-11-17,CUST103574,P9379,19169.86,Cash,2,S118
TXN1000055,2025-03-22,CUST100013,P9518,164471.86,Wallet,9,S106
TXN1000056,2025-11-11,CUST102704,P6143,50810.83,Wallet,2,S109
TXN1000057,2024-11-30,CUST103296,P5844,189722.45,Credit Card,9,S106
TXN1000058,2025-11-24,CUST101425,P5930,106843.52,Net Banking,7,S100
TXN1000059,2025-08-16,CUST104969,P6279,270510.39,Cash,8,S114
TXN1000060,2024-06-22,CUST105397,P2389,84129.47,Net Banking,5,S119
TXN1000061,2024-08-28,CUST105511,P6085,5275.31,Credit Card,4,S104
TXN1000062,2025-05-01,CUST105007,P2193,78418.55,Cash,8,S118
TXN1000063,2025-05-21,CUST103273,P4997,133931.18,Wallet,3,S100
TXN1000064,2024-04-19,CUST103482,P4585,69843.12,Wallet,3,S116
TXN1000065,2024-05-04,CUST103739,P3184,395166.67,Wallet,8,S116
TXN1000066,2025-03-29,CUST105018,P9270,314094.79,Net Banking,7,S114
TXN1000067,2025-05-01,CUST103686,P5246,153256.41,Wallet,4,S108
TXN1000068,2025-10-03,CUST101959,P5499,94409.84,UPI,8,S109
TXN1000069,2025-07-07,CUST100660,P3267,104184.29,Credit Card,3,S112
TXN1000070,2024-03-06,CUST103398,P7678,125082.81,Net Banking,6,S114
TXN1000071,2025-03-06,CUST103190,P1320,3942.15,Cash,10,S115
TXN1000072,2025-02-03,CUST103432,P9818,220163.86,Net Banking,9,S107
TXN1000073,2025-05-12,CUST100237,P7371,217419.9,Wallet,6,S112
TXN1000074,2024-05-10,CUST105097,P9751,28263.16,Cash,1,S118
TXN1000075,2025-10-20,CUST103511,P3223,104654.4,Credit Card,8,S101
TXN1000076,2025-04-10,CUST102677,P6529,88818.45,Debit Card,7,S113
TXN1000077,2024-01-20,CUST104418,P1853,234501.18,Credit Card,6,S102
